City,Region,Population,link,Country,Capital City,Capital Population
Shumen,Northeast / Varna,87000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Pernik,Southwest / Sofia,82000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Yambol,Southeast / Burgas,80000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Haskovo,Central-South / Plovdiv,80000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Pazardzhik,Central-South / Plovdiv,76000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Blagoevgrad,Southwest / Sofia,71000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Veliko Turnovo,Central-North / Ruse,66000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Gabrovo,Central-North / Ruse,66000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Vratsa,Northwest / Montana,65000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Vidin,Northwest / Montana,54000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Asenovgrad,Central-South / Plovdiv,52000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Kurdzhali,Central-South / Plovdiv,51000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Kyustendil,Southwest / Sofia,48000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Montana,Northwest / Montana,47000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Lovech,Northwest / Montana,42000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Silistra,Central-North / Ruse,40000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Razgrad,Central-North / Ruse,38000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Zagreb,Grad Zagreb,793000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Split,Splitsko-Dalmatinska,178000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Rijeka,Primorsko-Goranska,129000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Osijek,Osjecko-Baranjska,108000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Zadar,Zadarska,71000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Slavonski Brod,Brodsko-Posavska,61000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Pula,Istarska,59000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Sesvete,Grad Zagreb,52000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Karlovac,Karlovacka,48000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Varaždin,Varaždinska,42000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Stenjevec,Grad Zagreb,41000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Šibenik,Šibensko-Kniniska,37000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Sisak,Sisacko-Moslavacka,36000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Velika Gorica,Zagrebacka,35000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Vinkovci,Vukovarsko-Srijemska,33000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Vukovar,Vukovarsko-Srijemska,30000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Dubrovnik,Dubrovacko-Neretvanska,28000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Bjelovar,Bjelovarsko-Bilogorska,28000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Koprivnica,Koprivnicko-Krizevacka,26000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Požega,Požeško-Slavonska,21000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Zapresic,Zagrebacka,18000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Solin,Splitsko-Dalmatinska,16000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Cakovec,Medimurska,16000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Virovitica,Virovitick-Podravska,16000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Samobor,Zagrebacka,15000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Kutina,Sisacko-Moslavacka,15000,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Gospic,Licko-Senjska,6120,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Pazin,Istarska,5010,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Krapina,Krapinsko-Zagorska,4730,https://www.worlddata.info/europe/croatia/index.php,Croatia,Zagreb,792875
Prague,Praha,1301000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Brno,South Moravian,380000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Ostrava,Moravskoslezský,290000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Starý Plzenec,Plzensky,171000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Pilsen,Plzensky,164000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Liberec,Liberecký,104000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Olomouc,Olomoucký,1e+05,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Ceske Budejovice,Jihocesky,96000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Ústí nad Labem,Ústecký,93000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Hradec Králové,Královéhradecký,93000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Pardubice,Pardubický,89000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Havirov,Moravskoslezský,83000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Zlín,Zlín,79000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Kladno,Central Bohemia,70000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Most,Ústecký,68000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Karviná,Moravskoslezský,64000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Opava,Moravskoslezský,60000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Decin,Ústecký,52000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Karlovy Vary,Karlovarský,52000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Teplice,Ústecký,51000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Jihlava,Vysocina,50000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Prostejov,Olomoucký,47000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Prerov,Olomoucký,47000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Jablonec nad Nisou,Liberecký,45000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Mladá Boleslav,Central Bohemia,44000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Ceska Lipa,Liberecký,39000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Trebic,Vysocina,39000,https://www.worlddata.info/europe/czechia/index.php,Czechia,Prague,1301132
Copenhagen,Hovedstaden,616000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Århus,Central Jutland,341000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Aalborg,North Denmark,213000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Odense,Southern Denmark,203000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Esbjerg,Southern Denmark,116000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Vejle,Southern Denmark,114000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Frederiksberg,Hovedstaden,104000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Randers,Central Jutland,56000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Kolding,Southern Denmark,55000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Horsens,Central Jutland,50000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Hvidovre,Hovedstaden,49000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Greve,Zealand,48000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Herning,Central Jutland,45000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Roskilde,Zealand,44000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Silkeborg,Central Jutland,42000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Næstved,Zealand,41000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Ballerup,Hovedstaden,40000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Viborg,Central Jutland,35000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Køge,Zealand,34000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Hillerød,Hovedstaden,31000,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Sorø,Zealand,7170,https://www.worlddata.info/europe/denmark/index.php,Denmark,Copenhagen,616098
Tallinn,Harju,431000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Tartu,Tartu,94000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Narva,Ida-Virumaa,67000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Kohtla-Järve,Ida-Virumaa,46000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Pärnu,Pärnumaa,44000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Viljandi,Viljandimaa,20000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Rakvere,Lääne-Virumaa,17000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Sillamäe,Ida-Virumaa,17000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Maardu,Harju,17000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Kuressaare,Saare,15000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Võru,Võrumaa,15000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Valga,Valgamaa,14000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Haapsalu,Lääne,12000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Jõhvi,Ida-Virumaa,11000,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Paide,Järvamaa,9740,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Keila,Harju,9410,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Tapa,Lääne-Virumaa,6550,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Põlva,Põlvamaa,6500,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Jõgeva,Jõgevamaa,6400,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Türi,Järvamaa,6140,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Elva,Tartu,5820,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Rapla,Raplamaa,5680,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Saue,Harju,5020,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Põltsamaa,Jõgevamaa,4760,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Kärdla,Hiiumaa,3760,https://www.worlddata.info/europe/estonia/index.php,Estonia,Tallinn,430805
Tórshavn,Streymoy,13000,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Klaksvík,Norðoyar,4660,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Hoyvík,Streymoy,2780,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Argir,Streymoy,1870,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Vágur,Suðuroy,1570,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Fuglafjørður,Eysturoy,1540,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Vestmanna,Streymoy,1280,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Tvøroyri,Suðuroy,1230,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Sørvágur,Vágar,1070,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Kollafjørður,Streymoy,1050,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
Miðvágur,Vágar,1040,https://www.worlddata.info/europe/faroe-islands/index.php,Faroe Islands,Tórshavn,13408
